ID,Producto,Categoria,Marca,Precio
101,Shampoo Sin Sulfatos,Lavado,Moroccanoil,86000
102,Acondicionador Hidratante,Lavado,OGX,36000
103,Mascarilla Reparadora Kérastase,Tratamiento,Kérastase,21000
104,Aceite de Argán,Tratamiento,Hask,50000
105,Protector Térmico,Styling,TRESemmé,32000
106,Crema para Peinar Rizos,Styling,Shea Moisture,56000
107,Shampoo en Seco,Lavado,Batiste,36000
108,Sérum Anti-Frizz,Tratamiento,John Frieda,44000
109,Laca de Fijación Fuerte,Styling,Schwarzkopf,60000
110,Tinte Permanente Pro,Color,L'Oreal,55000
111,Cepillo Deseheredante,Accesorio,Tangle Teezer,70000
112,Ampollas de Rescate,Tratamiento,Pantene,20000
