ID,Producto,Categoria,Marca,Precio
201,Aceite para Barba Cedro,Barba,Viking Revolution,56000
202,Bálsamo para Barba Suave,Barba,Honest Amish,82000
203,Cera para Cabello Mate,Styling,American Crew,68000
204,Shampoo 3 en 1 (Cuerpo/Cabello),Lavado,Old Spice,36000
205,Gel de Afeitar Transparente,Afeitado,Gillette Labs,48000
206,Aftershave Hidratante,Afeitado,Nivea Men,32000
207,Limpiador Facial Exfoliante,Cuidado Piel,Clinique for Men,90000
208,Pomada de Fijación Fuerte,Styling,Suavecito,74000
209,Loción Hidratante Facial,Cuidado Piel,L'Oreal Men Expert,48000
210,Espuma de Afeitar Sensitive,Afeitado,Barbasol,20000
211,Sérum de Crecimiento Barba,Barba,Beardbrand,113000
212,Peine de Madera Antiestático,Accesorio,Kent,52000
