ID,Producto,Categoria,Marca,Precio
1,Base de Maquillaje Matte,Rostro,Maybelline,42000
2,Corrector de Ojeras Alta Cobertura,Rostro,L'Oreal,35000
3,Paleta de Sombras Nude,Ojos,Urban Decay,60000
4,Mascara de Pestañas Waterproof,Ojos,Sky High,45000
5,Labial Liquido Matte,Labios,NYX,40000
6,Delineador en Gel Negro,Ojos,Inglot,60000
7,Polvo Traslucido,Rostro,Laura Mercier,130000
8,Rubor en Crema Rosa,Mejillas,Rare Beauty,82000
9,Iluminador Champagne,Rostro,Fenty Beauty,90000
10,Fijador de Maquillaje,Rostro,MAC Cosmetics,93000
11,Gloss Hidratante,Labios,Fenty Beauty,80000
12,Primer Hidratante,Rostro,Elf,40000
